ticker,close,open,high,low,volume,change_%,value_traded,sma20,sma50,sma200,bb_upper,bb_lower,bb_basis,kelt_upper,kelt_lower,donch_upper,donch_lower,perf_1m,perf_3m,rsi,cmf,rvol,tarih,quant_score,bbw,status_tag,score_diff
DOHOL,22.66,22.48,22.86,22.1,14298210.0,1.4324082363473605,323997438.6,21.215,21.079599999999985,20.553900000000016,22.33449095574748,20.09550904425252,21.215,22.825367942065284,20.039314443976146,0.0,0.0,7.190160832544936,-1.04803493449781,63.99673863343382,0.0709428585982535,1.2195194969287388,2026-08-28,76.0,0.106,🎯 TREND BAŞLANGICI (GÜÇLÜ),5.0
ANSGR,27.5,27.18,27.66,27.18,8325726.0,1.177336276674026,228957465.0,28.232000000000063,27.8624,26.710200000000007,29.322423770827992,27.14157622917213,28.232000000000063,29.401562601724383,26.577967716984688,0.0,0.0,1.476014760147596,-2.2048364153627347,44.25346793688579,0.0521996844360182,1.975187497747689,2026-08-28,74.75,0.077,🎯 TREND BAŞLANGICI (GÜÇLÜ),10.0
AKCNS,242.2,247.8,247.8,242.0,422082.0,-2.5744167337087718,102228260.4,241.80000000000015,232.30000000000004,196.55949999999996,250.1022888410078,233.49771115899256,241.80000000000015,253.29181647931657,229.7440185095536,0.0,0.0,2.670623145400586,11.715867158671577,53.06725853091281,-0.0430823026560678,1.5639721918999014,2026-08-28,72.25,0.069,🎯 TREND BAŞLANGICI (GÜÇLÜ),5.0
ISDMR,54.55,54.85,55.65,54.05,1986493.0,0.3679852805887686,108363193.15,52.74249999999997,55.05399999999997,46.64785000000003,55.30984785333224,50.175152146667706,52.74249999999997,56.95774318017358,49.92280240999004,0.0,0.0,2.249297094657911,-5.785837651122628,55.02506511556773,-0.1069580668071763,1.2261772639453852,2026-08-28,72.25,0.097,🎯 TREND BAŞLANGICI (GÜÇLÜ),5.0
ESCAR,46.44,45.94,46.98,45.88,3187556.0,1.2205754141237906,148030100.64,45.578,47.09360000000002,37.04620000000002,48.1110424394396,43.04495756056039,45.578,50.03696399161847,42.49547254309781,0.0,0.0,-1.0651896037494677,-4.444444444444452,50.31118676579543,0.0595883222134268,1.0522423625299635,2026-08-28,71.0,0.111,🎯 TREND BAŞLANGICI (GÜÇLÜ),0.0
BYDNR,38.0,38.36,38.58,37.4,1513112.0,-0.4714510214772124,57498256.0,38.536000000000016,38.31440000000004,35.18900000000001,39.58622664220295,37.48577335779708,38.536000000000016,41.043788294775055,36.19601574798405,0.0,0.0,-0.8868022952530082,-3.01174068402246,44.38152539100366,-0.2113673658826469,2.9233309363665203,2026-08-28,71.0,0.055,🎯 TREND BAŞLANGICI (GÜÇLÜ),0.0
GMTAS,45.14,44.68,45.48,44.5,2164244.0,1.0295434198746662,97693974.16,46.023,45.92319999999999,34.13643253749999,48.5109638261038,43.5350361738962,46.023,49.49949597993561,41.8353051923176,0.0,0.0,-2.7574321413184,-0.3532008830022,47.855497385454335,0.1322840576559745,0.6038607687542082,2026-08-28,69.75,0.108,⚡ SIKIŞMADAN KOPUŞ (ADAY),0.0
ALKLC,427.25,422.5,437.25,419.0,4279453.0,1.4845605700712587,1828396294.25,420.95000000000016,391.7750000000001,295.46775,436.53332442067017,405.36667557933015,420.95000000000016,436.61763770746205,399.6136179462281,0.0,0.0,7.349246231155779,20.948336871903752,66.9121676759143,-0.5491887835490505,2.0027329567402123,2026-08-28,69.25,0.074,⚡ SIKIŞMADAN KOPUŞ (ADAY),19.5
MAGEN,35.88,33.42,36.02,33.38,39872209.0,7.040572792362767,1430614858.92,35.08799999999999,35.70880000000001,43.8703,38.0427629346537,32.13323706534627,35.08799999999999,38.87279202923766,31.562382417627976,0.0,0.0,-7.81089414182939,-38.97959183673469,50.75070460196866,0.1701364459774088,2.814652411238497,2026-08-28,69.0,0.168,⚡ SIKIŞMADAN KOPUŞ (ADAY),37.25
EUREN,4.01,3.91,4.1,3.88,54010593.0,2.8205128205128176,216582477.93,3.875500000000012,4.100399999999992,5.143799999999998,4.010181104835206,3.740818895164818,3.875500000000012,4.128316482699843,3.7052743925049096,0.0,0.0,2.295918367346935,-17.48971193415639,54.30584855866796,-0.2278260631556531,2.5208520858834813,2026-08-28,67.25,0.07,⚡ SIKIŞMADAN KOPUŞ (ADAY),32.25
GZNMI,60.35,56.55,60.8,56.55,3641829.0,7.0035460992907845,219784380.15,58.7725,60.955000000000034,66.74845000000008,61.933429451921725,55.61157054807828,58.7725,65.53208032874373,52.747857595376246,0.0,0.0,-2.661290322580643,-11.51026392961877,51.96269602516241,-0.1340575681402111,1.912802671116428,2026-08-28,67.25,0.108,⚡ SIKIŞMADAN KOPUŞ (ADAY),32.25
MARTI,1.55,1.46,1.59,1.4,258891154.0,6.164383561643842,401281288.7,1.405000000000003,1.5639999999999998,1.752152149800001,1.482330459716378,1.3276695402836278,1.405000000000003,1.5878213305110878,1.3006693055509868,0.0,0.0,-3.726708074534165,-12.429378531073445,59.66551280431259,-0.0157305118836183,4.119275031574307,2026-08-28,67.25,0.11,⚡ SIKIŞMADAN KOPUŞ (ADAY),27.25
CANTE,1.3,1.22,1.33,1.21,1041995640.0,7.438016528925627,1354594332.0,1.208,1.270799999999998,1.6024435209499996,1.2599999999999705,1.1560000000000294,1.208,1.303073842622474,1.1492215182053176,0.0,0.0,5.6910569105691104,-15.032679738562091,61.40566629922074,-0.0571738020491247,6.885285492467396,2026-08-28,67.25,0.086,⚡ SIKIŞMADAN KOPUŞ (ADAY),17.5
AKFYE,23.58,23.16,24.0,23.08,9076862.0,1.9014693171996444,214032405.96,23.415999999999965,24.006,21.03849999999999,24.27582323765261,22.556176762347324,23.415999999999965,25.27328516274198,21.91359325839367,0.0,0.0,-5.3012048192771095,8.964879852125682,48.91572914334718,-0.2605403564592741,1.224302987453961,2026-08-28,66.0,0.073,⚡ SIKIŞMADAN KOPUŞ (ADAY),-1.25
CVKMD,16.52,15.74,16.68,15.6,63722973.0,5.022250476795926,1052703513.96,15.990797236,15.445505804799993,13.273445827000009,17.202397192755658,14.779197279244343,15.990797236,17.456364246312216,14.42193444862122,0.0,0.0,17.03507921050346,-7.296432482999655,57.53652712362772,-0.1552352896366028,1.6978279721218883,2026-08-28,65.25,0.152,⚡ SIKIŞMADAN KOPUŞ (ADAY),11.25
PRKME,18.55,18.3,19.45,18.08,4724210.0,0.7604562737642617,87634095.5,18.419499999999974,18.9534,18.726200000000038,19.681458398682267,17.15754160131769,18.419499999999974,20.11841609528404,16.56879450015411,0.0,0.0,6.978085351787779,5.939463163906334,51.2189812975546,-0.1598885046503694,1.308377520038002,2026-08-28,65.25,0.137,⚡ SIKIŞMADAN KOPUŞ (ADAY),0.0
NTHOL,44.28,43.32,44.28,43.16,1681700.0,2.263279445727492,74465676.0,44.62000000000008,44.85479999999994,44.51390000000001,46.42390687120558,42.81609312879458,44.62000000000008,47.04862497730288,41.652823163093146,0.0,0.0,0.8196721311475397,17.76595744680851,49.51627908049244,0.0434782693107464,0.9349427818020292,2026-08-28,64.75,0.081,⚡ SIKIŞMADAN KOPUŞ (ADAY),0.0
